,nickname,text,score,like,dislike,time,watch_movie
458,개념부재(ssoh****),I am Iron Man 의 시작.. 아이언맨 3000 만큼 사랑해요 ㅠㅠㅠㅠ 내 히어로는 아이언맨 뿐이야 ㅠㅠ,10,2,0,2020-06-07 02:04:00,0
459,jae1****,,10,2,0,2020-05-16 23:59:00,0
460,rulu****,스포일러가 포함된 감상평입니다. 감상평 보기,10,2,0,2020-05-09 18:26:00,0
461,도도한도도새(syth****),마블 영화중에 최고다 i am ironman,10,2,0,2020-05-08 23:15:00,0
462,백종호(back****),MCU와 히어로 전설의 시작,9,2,0,2020-05-02 16:48:00,0
463,ktu(ktu0****),"나의 인생영화,전설의 시작,로다주라는배우의 운명을 바꾼 영화",10,2,0,2020-04-25 22:01:00,0
464,김희연(dldz****),그냥 최고입니다 평생소장하고 싶은 시리즈의 첫 시작입니다,10,2,0,2020-04-09 21:36:00,0
465,룰루랄라(5118****),봐도봐도 재밌을 것 10년 후에도 재밌을 거라고 장담함,10,2,0,2020-04-09 15:45:00,0
466,Redmoon8891(llh0****),거만하고 제멋대로지만 이것 또한 아이언맨의 개성.,7,2,0,2020-03-06 01:33:00,0
467,행복은 지금 이 순간(harr****),말이 필요한가? 전설의 시작.,10,2,0,2020-01-31 21:44:00,0
468,르르(k_na****),히어로물 전설의 시작을 알리는 쇳덩어,10,2,0,2019-12-16 19:42:00,0
469,김호영(rand****),현실에서도 언젠가 현실로 만들어질 영웅이 될 수도 있기에 가장 흥미깊게 들여다본 히어로 영화이다. 마블의 시작이고 흥미진진한 스토리가 있기에 10점을 주기에 충분하다.,10,2,0,2019-10-29 20:14:00,0
470,서디귿(phea****),마블 유니버스와 아이언맨의 시작.,7,2,0,2019-10-26 00:12:00,0
471,안승섭(seun****),재밌고 볼만하내요,10,2,0,2019-10-09 20:01:00,0
472,흐름(buti****),11년이 지난 지금에 봐도 재밌다.,10,2,0,2019-08-18 15:17:00,0
473,sso5****,아이언맨이랑 토르시리즈빼고 다 봐서 별 기대안했는데 내가 멍청했음,10,2,0,2019-08-15 01:34:00,0
474,전승호(pola****),별 5개도 아까움 한 별 100개는 있어야함,10,2,0,2019-08-12 17:51:00,0
475,sckc****,봤었던 최고의 영화중 하나,10,2,0,2019-08-11 11:37:00,0
476,흐꼼(whej****),더 할 나위 없었다...,10,2,0,2019-08-09 17:51:00,0
477,니니(luna****),오랜만에 다시 봤는데 역시나 명불허전. 더이상의 아이언맨이 없다는게 슬플 따름ㅜㅜ,10,2,0,2019-08-08 11:28:00,0
478,물음표(11kh****),"엔드게임 마지막에 ""나는아이언맨이다"" 라는 말을 한 이유가된 영화",10,2,0,2019-08-03 23:05:00,0
479,절묘(ange****),아임 아이언맨으로 시작해서 아이엠 아이언맨 으로 끝나지,10,2,0,2019-08-01 22:05:00,0
480,데몬(kool****),최고네 정말 재미있게 봤다.,9,2,0,2019-07-27 16:20:00,0
481,박진수(jins****),2019년에 다시 보니 눈물난다.,10,2,0,2019-07-14 11:40:00,0
482,B1(s_ta****),오랜만에 다시 봤는데 집중도도 높고 재밌음,10,2,0,2019-07-08 01:44:00,0
483,지나가는나그네(mooe****),그떄는 몰랐다... 모든 시작과 끝이 아이언맨이 될줄은.. 소름..,10,2,0,2019-07-07 14:00:00,0
484,cas3****,진짜 미친영화다시 보고싶다,10,2,0,2019-07-07 12:24:00,0
485,ganb****,아이 앰 아이언맨 ~!!,10,2,0,2019-07-06 23:54:00,0
486,밍굴밍굴(yumi****),I'm Iron Man,10,2,0,2019-07-05 14:09:00,0
487,열심개미(love****),재밌다 완전 멋있음!!!!,10,2,0,2019-07-05 11:25:00,0
488,곧휴큰스님(dltj****),마지막대사가 기억에남는다 아임 아이언맨 오벨리아가 다소 허무하게 끝난면도 있지만중간중간 가미된 유머코드와 화려한액션씬그동안 본 히어로물중 단연 최고다,9,2,0,2019-07-02 00:42:00,0
489,Michael Ken(minh****),참신하고 획기적이다. 맨날 몰래 영웅놀이 하던 기존 소심한 히어로들과는 판이 다르다. 영웅이 되어야만 했던 당위성도 최고다.,10,2,0,2019-06-30 11:46:00,0
490,myso****,존나 재밌다 ㄹㅇ ㅋㅋㅋ,10,2,0,2019-06-30 01:54:00,0
491,콩알달콩(jini****),역시 아이언맨아 짱이다.마블은 아이언맨 이 잘함,10,2,0,2019-06-29 14:17:00,0
492,그렉(jin0****),액션영화 중에 최고의 영화입니다,10,2,0,2019-06-27 13:59:00,0
493,준이맘(kwak****),이 영화는 재미있고 없고를 떠나서 무조건 봐야되는 전설의 시작영화. 물론 난 재미있음,10,2,0,2019-06-23 18:05:00,0
494,주식(jjji****),사랑해요 아이언맨 이제 편히 쉬여요 ㅠㅠ 3000만큼 사랑해나도,10,2,0,2019-06-06 23:35:00,0
495,BRS(sofi****),전설의 시작. 내 인생히어로3000만큼 사랑합니다,10,2,0,2019-06-06 16:19:00,0
496,김태훈(taeh****),거대한 서사시의  시작. 정말 위대하다. 마블3000만큼 사랑해,10,2,0,2019-06-05 14:39:00,0
497,egeg****,MCU는 이거 부터 봐야 하는구나를 제대로 보여줬다.(더불어 반역한 액션과 매력적인 빌런이 없는 것 도 여기 부터 나왔다.),8,2,0,2019-06-02 00:03:00,0
498,eks(ekso****),진짜이건정말봐야됩니다,10,2,0,2019-05-26 10:13:00,0
499,꽁이(isd4****),마블의 첫 작품은 바로 아이언맨,10,2,0,2019-05-25 23:36:00,0
