,nickname,text,score,like,dislike,time,watch_movie
335,wkdr****,"장애만이 국한된게 아니다, 이 영화를 보고 그때 내가 했던 사랑은 사랑이 아닌 동정이었다는걸 알았다",10,1,0,2019-08-12 13:38:00,0
336,sant****,먹먹함 .. 일본 영화 특유의 고요하고 깨끗한 느낌이 잘 깔려있는 영화. 계속해서 곱씹게 되고 마음 속에 오래 남아있다.,10,1,0,2019-08-08 23:08:00,0
337,ibdddd(adsf****),"사랑을 알려주는 아름다운 조제, 영화",10,1,0,2019-08-01 23:09:00,0
338,moni****,여행길에서부터 담담히 츠네오를 떠나보내는 조제의 모습..너무 아프고 한편 대견스러웠다.그래도 조제의 인생에 가장 아름다운 시간을 선물해준 츠네오에게 고마워하지 않을까..살아가면서 가끔 떠올릴때 웃음지을수 있는 기억을...,10,1,0,2019-07-10 13:45:00,0
339,작은동산(ggvm****),"사랑, 그리고 예견된 이별을 통해 내가 한층더 성숙해질 수 있다면, 이별도 나에겐 소중한 것이 될까? 8년의 연애끝에 갑작스런 이별을 맞이하고 이 영화를 다시 꺼내보게되었다. 사랑 참 어렵다...",10,1,0,2019-07-09 12:14:00,0
340,pret****,장애인이라해서끝까지책임질필요없다츠네오는그냥조제를한여자로사랑했다헤어지건조제를진심으로사랑했지만그만큼의책임감도필요하기때문이지않을까조제또한츠네오를사랑했고영원하지않을껄알았다해저에서꺼내준건츠네오지만해저로돌아가지않고열심히사는건조...,10,1,0,2019-06-15 22:03:00,0
341,ㅇㅇ(chao****),그 사람보다는 그 상황이 생각나더라.,10,1,0,2019-06-04 02:15:00,0
342,킨코스코리아 정강호(kang****),지독하게도 현실적이다.,10,1,0,2019-05-28 23:11:00,0
343,리아(kanz****),그렇구나...근데 이게 15인가요,8,1,0,2019-05-27 21:29:00,0
344,장은빈(dmsq****),이 영화만큼 여운이 계속 남는 건 아직 못 봤았어요..ㅠㅠ 정말 최고입니다..,10,1,0,2019-05-23 01:28:00,0
345,woon****,마지막에 츠마부키 사토시의 애드리브가 모든것을 말해주는 영화,10,1,0,2019-05-13 01:24:00,0
346,우유꽃(birt****),"어제 이 영화를 봤을때는 아무 생각이 없었다. 허망하기도 하고 남는게 없는 기분이였는데, 하루 지나고 나니 강한 여운이 물밀듯이 밀려온다. 먹먹한 기분이 듬과 동시에 모든 장면을 생각나게 하는.... 그런 이상한 영...",9,1,0,2019-05-07 17:17:00,0
347,한우(zpso****),동정이 아닌 사랑이 무엇인지 보여준 영화.,9,1,0,2019-04-30 22:29:00,0
348,uni3****,나에게 편견이 얼마나 많았는지 보는 동안에도 보고 난 후에도 생각하게 되는 영화다. 그 동안 나는 편견이 없는 척 하며 세상을 바라보며 살아온 척 한 것일지도.,10,1,0,2019-04-28 01:35:00,0
349,ssh0****,64636786579,10,1,0,2019-03-25 05:19:00,0
350,윤자똥(wkdu****),영화를 보고 계속 울컥울컥 일본영화 특유의 감성이 많이 묻어나지만 이만한 영화도 없다고 본다,10,1,0,2019-03-22 18:40:00,0
351,nancy(wonj****),"수많은 영화를 보았지만 이 영화만큼 긴 여운과 공감을 준 영화는 없었던 것 같다,,",10,1,0,2019-03-10 14:35:00,0
352,멍게소리(bugi****),돌이켜보면 부끄럼 많은 생을 살았다는것은그 시절 나를 똑바로 바라볼 수 없었다는 것임을 그럼에도 달라질 수 없다는 것은 그래도 거짓음 아니였다는것을,10,1,0,2019-02-17 04:20:00,0
353,cucu****,그시절 너의 마음이 변해감을 느끼고 그럼에도 불구하고 그것을 붙잡기위해 노력하지 않았던 내가 생각난다.,8,1,0,2018-09-15 02:37:00,0
354,끌림(whys****),"대학생때 보고 여운이 많이 남은 영화였는데 방금 ebs에서 이 영화를 다시 봤어요..30대가 되어서 본 조제, 호랑이 그리고 물고기들도 슬프지만 아름답고..쉽게 잠들지 못할것같아요. 조제가 행복했으면 좋겠어요.",10,1,0,2018-09-15 02:37:00,0
355,블루베리스(blue****),이런 수작을 이제야 보게되다니.. 그래도 이제라도 보게되어서 다행이네요..여운이 길게 남습니다. 여주인 이케와키 치즈루연기에 찬사를 보냅니다~!,9,1,0,2018-09-15 02:31:00,0
356,서수경(hpss****),수작입니다.. 가슴한켠이아련해집니다,10,1,0,2018-09-15 02:30:00,0
357,어나더스프링(mmin****),EBS에서 해주다니 .. 오랜만에 보니 좋네요. 어렸을 때 볼 때도 좋았지만 나이들어 봐도 또 좋은 영화,9,1,0,2018-09-15 02:06:00,0
