type	text
네이버	여러가지의미로 참감동넘치는영화라고 생각하네요 ㅋ 재밋습니다
네이버	야구안에는 사랑이 있다 GLove♡
네이버	생각보다재밋고감동적이네요
네이버	잘만들엇구만
네이버	굿굿
네이버	감동적입니다.
네이버	감동이에요ㅠㅠㅠㅠ
네이버	감동이 정말 가슴으로 밀려옵니다.
네이버	손까지는거 존나불쌍ㅜ
네이버	감동쩐다 폭풍눈물 뭔가올라온다
네이버	무한한 도전과 긍정의 힘이 밀려오는 한편의 영화였습니다
네이버	기대없이본영화. 정재영과 배우들의 진정성이 느껴져 3번이나 눈물흘린.잘봤습니다^^
네이버	설날~ 새해 아침~ 힘이 불끈 납니다^^
네이버	정말 눈물나는 영화  감동 강추 !!!
네이버	계속 가슴에서 뭔가올라온다 ㅋ
네이버	메이저보구 이후감동이네요..투수보크라고 동작이잇습니다
네이버	대박
네이버	근데충주성심이진이유가투수실책이라는데 그게 왜그런거죠?
네이버	최고~!^^진심 감동눈물나와~!♡♡
네이버	진짜 눈물나는 설특선영화네요ㅜㅜ
네이버	소재가낯설어서 흥행못한듯. 하지만꼭봐야함감동백배ㅜㅜㅜㅜㅜㅜ
네이버	와우~~ 넘 감동ㅜTV에서만 보구...못봤어여ㅜ영화관에가서보면더잼있을거같은데,
네이버	그래이런걸만들어~강우석감독짱이다!뻔하긴해도영화는다이래야제맛이지
네이버	지금 보고있는 데. . .감동받았음～ㅠㅠ 충주성심!!!화이팅～^^
네이버	너무 감동적이야ㅠ
네이버	대박이당
네이버	감동...
네이버	감동이다. 이런 영화를 만들라는 말이다.
네이버	남극의 눈물에 이어 또 눈물이나네요ㅠㅠ
네이버	따뜻하다
네이버	감동
네이버	돼박!!!!!!!!
네이버	완전 감동ㅠ 눈물나네요 감동적임
네이버	완전감동이네요
네이버	너무 감동적인 영화예요...ㅠㅠ
네이버	와우 정말 좋은 영화네요
네이버	완전 감동
네이버	최오입니다 감동  감동
네이버	이런 영화도 있었내..명절영화로 하는데 너무 잼있게보고있어요~
네이버	재밌었음...
네이버	빨리 보고 싶다
네이버	실화라 더 감동적인 영화!!충주성심학교 화이팅!!
네이버	재밋어요 ㅎㅎ
네이버	감동 받앗습니다... 니미뽕?
네이버	대박입니다..
네이버	장애우들이라이룰수없다고생각했던편견을깨버린영화보는동안우는지도모를정도로감동적
