type	text
네이버	단순한 복수극이 아니라 인간의 죄의식과 참회, 구원에 대한 아름다운 경극
네이버	박찬욱 감독이 여성비하적인 생각을 갖고있다고 생각했는데 이 영화를 보고 그런 생각이 줄어들었다. 잘만든 영화
네이버	"너나 잘하세요"만 아는 채로 봤는데 진짜...대박
네이버	시간이 흐를수록 가치를 알게 되는 영화.
네이버	영화사를 통틀어 복수의 역사에서 올드보이랑 친절한 금자씨, 악마를 보았다를 뺄 수 없음 근데 그 셋 중에서 제일 아름다운 작품이 금자씨ㅠㅠ
네이버	한국영화 베스트중 하나. 너무 저평가된 영화.
네이버	OST가 영화와 어울리는 정도는 진짜 세계 탑급
네이버	잔인한줄 알고 지금까지 안보고있다가 드디어 결재해서 봤다.. 잔인한 슬픔이다..
네이버	새하얀 두부는 악을 낳고 그 악은 더 큰 악을 낳는다. 그리고 더이상 하얗지 않은 그 두부는 하얗던 시절을 그리워하고 돌아가고 싶어한다.
네이버	보고 또 보고싶은  영화
네이버	이런영화좋다
네이버	박찬욱 감독은 원죄의식이 있는듯 그래서 너무나 인간적이다
네이버	아가씨부터 역주행 해서 보는데 이 감독을 어찌 이제 알았을까. 요즘 집중력이 떨어진 내게 쉬지않고 한 화면만 보고 듣게 만드는 능력 아니 매력이라고 해야할까. 더 찾아볼수록 반할거같다.
네이버	좋은영화
네이버	조만간 다시 음미하며 보고싶은 영화다. 평점이 이렇게 낮은 게 이해  안가는 작품..
네이버	으...30번봐도 새롭다
네이버	평점이 9점대는 아니지만 8점이상정도는 된다
네이버	이 영화는 볼때마다 새롭고 대단하다 연출,미술,의상,연기,시나리오 심지어 메이크업 까지 소름 돋을 정도로 완벽하게 금자의 인생을 그렸다 이건 창작물이 아닌 실화같다.
네이버	한국영화를 보면서 입을 벌리고 본건 처음이다.
네이버	옛날에 봤었는데 평점이 이상해서 합류해본다.방금 복수는 나의것 보고 와서  이것도 생각나서 평점남김.10점 만점에 10점.
네이버	내 인생영화.. 스무번 넘게 봐도 빨려들어간다 손녀잃은 할머니의 복수씬 표현은 소름끼쳤고 마지막장면까지 연출이 정말좋다 영화관에서 다시보고싶다
네이버	박찬욱 감독의 명성을 이해할 수 있게 만들어 주는 영화
네이버	지금봐도 명작 촌스러움이란 없다.
네이버	좋은 각본과 좋은 배우와 좋은 감독의 힘
네이버	보면서 엄청 이입하게 됐고 그것 때문에 본인이 주인공이라도 된마냥 스트레스 많이 받았음. 끝나고 뒷목 잡았음.
네이버	그녀가  복수하고 싶었던 건 백선생이 아니라 그녀 자신이었던 거 같다. 무능력한 자신에 대한 벌. 또한 희생 당한  이들에게 대한 사죄. 그러나 그녀는 끊임없이 용서를 구했지만 구원 받지 못했다. 아니 끊임없이 용서...
네이버	이걸 지금 봤네... 와.. 이영애 정말 다시봤고.... 진짜 이건 작품이다
네이버	영화가 뛰어나도 우리나라 영화산업에서는 신과함께같이 억지감동 쥐어짜지 않으면 평점 높아지기 힘들고 관객들이 잘 안빨아줌. 친절한금자씨랑 신과함께같은 쓰레기랑 비교불가인데 관객수랑 평점부터 차이가 이렇게난다. 우리나라...
네이버	탈코리아영화다..갓자씨
네이버	이 세상에 완벽한 복수는 없다..  그래서 더욱 슬픈 영화
네이버	최고.. 어렸을때 보고 좀 나이먹고 보니 더 새롭다 박찬욱은 천재인듯
네이버	복수를  다루는  영화 중에서  기억에 남는 영화다.처음보면 붉은색이, 두번째보면 흰색이 기억에 남는 영화.
네이버	역대급 오프닝과 OST의 아름다움. 흉악범은 본인이 저지른 방식으로 죽었으면 좋겠지만, 피해자가 직접 형벌을 가하면 후련할까? 금자씨가 고생한 세월과 죄많은 인생도 속죄하면 눈처럼 깨끗해질까? 엔딩곡에 눈물이 멈추지...
네이버	그냥 좋다는 말이 부족한 영화임 스토리긋 금자씨연기긋최민식님연기는 말하면 입아프고 반전도긋 영상미도긋 진짜 다 좋은 영환데.. 평점만 안좋네.. 왜지??
네이버	전 오늘 처음 봤는데 몰입도 최고던데요?박찬욱 감독님 영화 다 너무 자극적이어서 제 스타일은 아니지만 이건 너무 자극적이지도 않고 재미있게 봤네요
네이버	1점준 사람들 평가내용 보니까 기가차네요 , 영화를 제대로 보고들 쓴건지 ㅡㅡ
네이버	극장에서 봤을 때랑 느낌이 다르네...
네이버	12년이 지난 후 봐도 소름돋는 명작.
네이버	옆에서 깨끗한 눈을 먹고 있는 제니와 근식이와는 달리 홀로 복수와 죄에 더럽혀져 구원받지 못하는 금자씨가 너무나 고독해보였다
네이버	이미 빨갛게 물들여져 버린 자신을 흰 케익에 씻어버리고 싶었던 것일까
네이버	이시대에 필요한 영화임
네이버	이영애씨가 너무 진짜 억소리날정도로아름다워서 오히려영화몰입에지장을줄정도... 한번쯤 언젠가 다시보고싶다
네이버	진심 올드보이보다 더 재밌었음
네이버	아름답고 슬프다.그리고 아름답고 슬프다.
네이버	7.23? 왜? 평점테러가 일어날만한 작품이었나?
네이버	빨강 아이섀도우를 아름답게 소화하는 여인은 전무후무할것이다.
네이버	너무 말도 안되게 평점이 낮아.
네이버	너무 저평가된 영화  너무 재밌게 봤다
네이버	영상미와 내용 모두다 좋았다
네이버	왜 이렇게 평점이 낮지? 이 영화 정말 최고임!!
네이버	당시 이영애 나이가 35살인데 전혀 어색하지 않은 고등학생역
네이버	와 이걸 이렇게 늦게 봐서 죄송합니다
네이버	요즘 한국에선 더이상 이런 영화, 이런 감독이 나타나지 않는다. 과거엔 창조와 영화에 대한 진지한 자세가 있었지만 이젠 오로지 싸구려감성으로 무장한 흥행만을 맹목적으로 쫓는 영화만 가득..
네이버	난 좋아. 그 옛날에 이런 시도를 할 수있는감독, 그리고 대중적 공감을 얻을 수 있게 끌어내는 능력. 아무나에게나 있는 재능이 아니야.
