,nickname,text,score,like,dislike,time,watch_movie
239,벚꽃엔딩S2(bon3****),1점도 아깝다 시작하자마자 고속도로에서 OO하는거부터 노잼이라생각하고 30분보자마자 집가고싶어서안달낫음 엄마생신이라 가족끼리단체로보러갓는데 다들졸려죽을라고함 돈주고보기아까움 영상미좋다는거 몇분나옴ㅋㅋㅋㅋ 나올락말락하...,1,32,8,2017-01-15 23:16:00,0
240,Beave(ljim****),춤추고 음악 한다고 다 걸작은 아니다. 솔직하게 재미는 없다.음악도 그리 훌륭하거나 감동적이지 않다. 평론가들의 잘난체는 역시 불변의 진리다.,1,35,11,2017-02-03 12:27:00,0
241,나나공주(kimy****),보다보다 이렇게 재미없는 영화는 처음이다.내용도 메세지도 없는 어설픈 뮤지컬 영화. 찰나적인 감각에만 호소하는 영화.남는 것 하나없는 영화.킬링타임도 안 되는 영화.돈 아깝다.,1,37,13,2017-06-10 07:06:00,0
242,이동환(dhor****),와 정말 지루하고 졸린 영화...,1,37,13,2017-01-02 14:38:00,관람객
243,망퉁이(addi****),"내가 뮤지컬 참 좋아하는데, 이런류의 영화 참 좋아하는데, 막 재미없는 정도는 아니지만 지금 평점 너무 높아 평점 낮추기위해 1점 줍니다. 평점 6.5 적절",1,37,13,2016-12-17 20:45:00,0
244,웅시기(toto****),호불호가 갈리는 이 영화 난 솔직히 별로였음. 뭐 인생영화라는데 점점 지루해져가는 영화. 영화관사람들 나와 같은반응들. 내가 뭘 본거지? 이런반응,1,38,14,2017-01-10 02:10:00,0
245,김이끼(thdd****),불호 노잼; 비추함;;,1,38,14,2017-01-04 02:43:00,관람객
246,하코(asho****),이렇게 재미없는 영화는 오랫만이다. 노래는 좋지만 그외에 모든게 글쎄.,1,42,18,2017-01-17 00:57:00,관람객
247,wlgu****,이거를 도대체 왜보는건가요?,1,49,25,2016-12-20 16:15:00,관람객
248,이승찬(fact****),별루..별로야 진짜 그냥 구렸어..,1,52,28,2016-12-28 20:42:00,관람객
249,제이큐(june****),올해최악의 영화네요. 10점준 리뷰들 다 알바인듯?,1,82,58,2016-12-25 01:42:00,관람객
250,ㅋㅋㅋ(rlaw****),"Winter ㅈㄴ 기다림,,",1,25,2,2017-01-02 15:25:00,0
251,지현(gjqm****),평점 남긴 유일한 영화. 재미 1도없고 너무 늘어짐 게다가 어떤 부분이 슬프다는건지? 애기 나이보면 고슬링이랑 헤어지고 얼마 되지도 않아서 남편만든거 같은데 걍 스쳐지나간 인연을 너무 꿈처럼 그려놓음 결말 뭐 어쩌라...,1,32,9,2017-01-01 07:44:00,0
252,CLYM(news****),인생 최악의 영화. 본영화중에 제일 ㅅㄹㄱ라고할정도,1,34,11,2016-12-18 23:26:00,0
253,스키피오(hehe****),개지루  겁나 잼없음  자다가 나옴,1,35,12,2017-01-05 13:28:00,관람객
254,dyea****,지루하고 개연성없음...,1,36,13,2017-01-21 22:05:00,관람객
255,386c****,그냥 그래요. 스토리가 신통치 않음,5,36,13,2016-12-18 15:15:00,관람객
256,써니(hiph****),썸남이랑 보러 가서 둘다 졸다가 망했구나 싶었는데 너무 재미없어서 스킨십하다가 1일됨 -_- 로맨틱영화 맞네요 결과가 어찌됐든 ㅋㅋㅋ,1,38,15,2016-12-12 10:04:00,0
257,바어규야애(lh07****),도대체 이게 평점이 높은 이유가 뭐지 내 마인드가 구닥다리인가 남친하고 한참 사귈때 미안하다하고 나가서 딴남자랑 키스하질 않나 꿈으로 포장해 바람을 정당화하고 그리고 무슨 사랑을 속삭이며 꿈때문에 헤어지고 5년뒤 애...,1,42,19,2017-09-02 20:34:00,0
258,연금술사(alch****),아 여주 진짜 너무 싫음 -_-,1,43,20,2016-12-11 19:55:00,0
259,아침의눈(illu****),음...주관적으로 봤을 떄 추천 하고 싶진 않음..,1,50,27,2016-12-18 11:54:00,관람객
260,mido****,"한마디로 기대이하의 최악의 영화네요.네티즌 과 기자단 평점이 좋아서 기대하고 갔는데,줄거리가 너무 형편없어서 아주 실망했습니다. 추천하고 싶지않습니다.",1,56,33,2016-12-24 21:24:00,관람객
261,kr65****,재미도없고감동도없고밑도끝도없고뭥미,1,28,6,2017-01-02 01:15:00,관람객
